"全国地方公共団体コード","法人番号","ID","地方公共団体名","イベント名","言語コード","イベント通称","サブタイトル","イベント名_カナ","イベント名_英語","コンテンツURL","状態","キーワード","タグ","対象となる産業","開催パターン","開始日","終了日","開始時間","終了時間","開始日時特記事項","所要時間","掲載開始日","掲載終了日","概要","説明","サブイベント","イベント種類","料金(基本)","料金(詳細)","連絡先名称","連絡先電話番号","連絡先内線番号","主催者","共催団体","関連組織","対象者","対象者備考","場所名称","集合（受付）場所","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","緯度","経度","アクセス方法","駐車場情報","駐車場料金","駐輪場情報","Web開催","Web開催URL","ツール・環境","定員","定員備考","料金種別","決済種別","外国語対応","外国語対応備考","開催条件","参加申込終了日","参加申込終了時間","参加申込方法","申込開始日","申込開始時刻","申込URL","URL","授乳室","おむつ替えコーナー","飲食可否","ベビーカー貸出","ベビーカー利用","画像","画像_ライセンス","備考","my door OSAKAフラグ","外部連携フラグ"
"270008","","","","森の実習隊","","","","","","https://nishikori.osaka-park.or.jp","","","","","","2026-10-17","2026-10-17","","","","","2026-06-24","2026-10-17","","錦織公園のボランティア錦織フォレスターと、園内の樹林管理作業を行います。","","","","無料","錦織公園管理事務所","0721-24-1506","","","","","","","錦織公園","","","","","","","","","","34.483470","135.572720","","","","","","","","","","","","","","","9999-12-31","","要事前申込。錦織公園管理事務所に電話又は来所にて9時から随時受付","9999-12-31","","","","","","","","","https://www.pref.osaka.lg.jp/images/87148/nishikorikoen.jpg","","","1","1"
"270008","","","","稲狩りと野菜の収穫","","","","","","https://nishikori.osaka-park.or.jp","","","","","","2026-10-04","2026-10-04","","","","","2026-06-24","2026-10-04","","河内の里の田んぼで稲刈り体験と秋野菜の収穫体験をします。","","","","500円","錦織公園管理事務所","0721-24-1506","","","","","","","錦織公園","","","","","","","","","","34.483470","135.572720","","","","","","","","","","","","","","","9999-12-31","","要事前申込。9月４日（金曜日）９時から錦織公園管理事務所に電話又は来所にて受付開始","9999-12-31","","","","","","","","","https://www.pref.osaka.lg.jp/images/87148/nishikorikoen.jpg","","","1","1"
"270008","","","","せんなん里海☆里山☆FUNFUNフェス","","","","","","https://sennan.osaka-park.or.jp/event/","","","","","","2026-09-27","2026-09-27","","","","","2026-06-24","2026-09-27","","より多くの方々にせんなん里海公園の里海・里山の魅力を伝えるとともに多くの人々の輪が繋がるフェスを開催 沖縄☆島唄ライブ/海岸清掃/カニカニウォッチング/タッチングプール/ふるまいハーブティー/ 海藻万華鏡/シーカヤック/チリメンモンスター探し/ちびっこなりきりコーナー/里山アクティビティ/風車の丘コンサート /スナフキンアコースティックライブ/飲食出店コーナー/スタンプラリー等","","","","無料（一部有料体験あり）","せんなん里海公園","072-494-2626","","","","","","","せんなん里海公園","","","","","","","","","","34.336560","135.192030","","","","","","","","","","","","","","","9999-12-31","","申し込み不要","9999-12-31","","","","","","","","","https://www.pref.osaka.lg.jp/images/87148/sennansatoumikoen.jpg","","","1","1"
"270008","","","","秋の七草展","","","","","","https://oizumi.osaka-park.or.jp/","","","","","","2026-09-26","2026-10-05","","","","","2026-06-24","2026-10-05","","秋の七草をパネルや鉢で紹介します。","","","","なし","花と緑の相談所","072-251-0871","","","","","","","大泉緑地","","","","","","","","","","34.566020","135.524190","","","","","","","","","","","","","","","9999-12-31","","なし","9999-12-31","","","","","","","","","https://www.pref.osaka.lg.jp/images/87148/oizumiryokuchi.jpg","","","1","1"
"270008","","","","カワセミ展　■青の世界■","","","","","","https://oizumi.osaka-park.or.jp/","","","","","","2026-09-05","2026-09-13","","","","","2026-06-24","2026-09-13","","カワセミの素敵な写真を展示します。","","","","なし","花と緑の相談所","072 251 0871","","","","","","","大泉緑地","","","","","","","","","","34.566020","135.524190","","","","","","","","","","","","","","","9999-12-31","","なし","9999-12-31","","","","","","","","","https://www.pref.osaka.lg.jp/images/87148/oizumiryokuchi.jpg","","","1","1"
"270008","","","","大泉の森ヨガ　森林浴YOGA＆WALKING","","","","","","https://oizumi.osaka-park.or.jp/event/","","","","","","2026-09-20","2026-09-20","","","","","2026-06-24","2026-09-20","","大泉緑地の樹の路でウォーキングをした後に、森の中でYOGAを行います！皆さんでリフレッシュしませんか？","","","","1000円","大泉緑地管理事務所","072-259-0316","","","","","","","大泉緑地","","","","","","","","","","34.566020","135.524190","","","","","","","","","","","","","","","9999-12-31","","８月19日(水)１０：００より管理事務所窓口若しくは電話受付いたします。　キャンセル待ちの場合は前日までにご連絡させていただいた方のみ参加可能です。","9999-12-31","","","","","","","","","https://www.pref.osaka.lg.jp/images/87148/oizumiryokuchi.jpg","","","1","1"
"270008","","","","コケ玉の作り方・育て方・楽しみ方","","","","","","https://oizumi.osaka-park.or.jp/event/","","","","","","2026-09-06","2026-09-06","","","","","2026-06-24","2026-09-06","","コケの魅力・コケ玉でステキなお部屋に！！ 1．観葉植物とは 2．観葉植物の効果 3．コケの魅力・飾り方 4．ガジュマルかパキラを使ってコケ玉作り・実習　※植物の変更する場合もある","","","","1000","花と緑の相談所","072-251-0871","","","","","","","大泉緑地","","","","","","","","","","34.566020","135.524190","","","","","","","","","","","","","","","9999-12-31","","＊開催日の１ヶ月前から花と緑の相談所 窓口または、電話にて　受け付けます。（先着順、午前１０時から午後５時まで。）　＊定員になり次第、受付終了。受付開始日が火曜日(休館日)の　場合は翌日(水曜日)から受け付けます。　＊キャンセルされる場合は、講習日の１０日前までに必ず　ご連絡ください。それ以後は材料代の発生する講習会は　実費をいただく場合があります。　＊講習会当日は１５分前から受け付けを開始いたします。　都合により講師が変更になる場合があります。予めご了承　ください。","9999-12-31","","","","","","","","","https://www.pref.osaka.lg.jp/images/87148/oizumiryokuchi.jpg","","","1","1"
"270008","","","","すみすみマルシェ","","","","","","https://www.toshi-kouen.jp/staticpages/index.php/sumiyoshi_top","","","","","","2026-09-26","2026-09-26","","","","","2026-06-24","2026-09-26","","主に大阪産の有機およびエコ農産物、無添加食品の販売ワークショップなど","","","","入場無料","住吉公園管理事務所","06-6671-2292","","","","","","","住吉公園","","","","","","","","","","34.613750","135.487640","","","","","","","","","","","","","","","9999-12-31","","申込否","9999-12-31","","","","","","","","","https://www.pref.osaka.lg.jp/images/87148/sumiyoshikoen.jpg","","","1","1"
"270008","","","","ハロウィンを迎えよう！","","","","","","https://www.toshi-kouen.jp/staticpages/index.php/sumiyoshi_top","","","","","","2026-09-29","2026-09-29","","","","","2026-06-24","2026-09-29","","樹脂粘土でカボチャをつくりハロウィンを迎えましょう。","","","","400円","住吉公園管理事務所","06-6671-2292","","","","","","","住吉公園","","","","","","","","","","34.613750","135.487640","","","","","","","","","","","","","","","9999-12-31","","申込要","9999-12-31","","","","","","","","","https://www.pref.osaka.lg.jp/images/87148/sumiyoshikoen.jpg","","","1","1"
"270008","","","","キャンドルナイトin住吉公園","","","","","","https://www.toshi-kouen.jp/staticpages/index.php/sumiyoshi_top","","","","","","2026-09-10","2026-09-10","","","","","2026-06-24","2026-09-10","","希望の灯をともそう！ 中秋の名月のもと柔らかいキャンドルの光の中で「たいせつなもの」に想いをはせてみませんか～","","","","なし","住吉公園管理事務所","06-6671-2292","","","","","","","住吉公園","","","","","","","","","","34.613750","135.487640","","","","","","","","","","","","","","","9999-12-31","","申込否","9999-12-31","","","","","","","","","https://www.pref.osaka.lg.jp/images/87148/sumiyoshikoen.jpg","","","1","1"
